*Generic
Reference Type	Author	Secondary Author	Year	Title	Secondary Title	Publisher	Volume	Number	Pages	Section	ISBN/ISSN	Abstract	Author Address	Keywords	Language	Edition	DOI	URL
Generic	Skovsted, Christian B. ;Brock, Glenn A. ;Paterson, J. R. ;Holmer, Lars E. ;Budd, Graham E. 		2008	The scleritome of <i>Eccentrotheca</i> from the Lower Cambrian of South Australia: Lophophorate affinities and implications for tommotiid phylogeny. 			36		171-174								10.1130/g24385a.1	
Generic	Holmer, Lars E. ;Caron, Jean-Bernard 		2006	A spinose stem group brachiopod with pedicle from the  Middle Cambrian Burgess Shale			87		273-290									
Book	Clarkson, E. N. K. 		2013			John Wiley & Sons			468									
Journal Article	Holmer, Lars E. ;Zhang, Zhifei ;Topper, Timothy P. ;Popov, Leonid ;Claybourn, Thomas M. 		2018	The attachment strategies of Cambrian kutorginate brachiopods: the curious case of two pedicle openings and their phylogenetic significance			92	1	33-39									
Journal Article	Bassett, M. G. ;Popov, L. E. 		2017	Earliest ontogeny of the Silurian orthotetide brachiopod <i>Coolinia</i> and its significance for interpreting strophomenate phylogeny			50	4	504-510								10.1111/let.12204	
Journal Article	Balthasar, Uwe 		2008	<i>Mummpikia</i> gen. nov. and the origin of calcitic-shelled brachiopods	Palaeontology		51	2	263-279		0031-0239						10.1111/j.1475-4983.2008.00754.x	
Generic	Williams, Alwyn 		1997	Part H. Brachiopoda. Revised. Volume 1: Introduction														
Generic	Kouchinsky, Artem V. 		2000	Skeletal microstructures of hyoliths from the Early Cambrian of Siberia			24	2	65-81									
Generic	Holmer, Lars E. 		1989	Middle Ordovician phosphatic inarticulate brachiopods from Västergötland and Dalarna, Sweden			26											
Generic	Cusack, Maggie ;Williams, Alwyn ;Buckman, James O. 		1999	Chemico-structural evolution of linguloid brachiopod shells			42	5	799-840									
Journal Article	Balthasar, Uwe 		2004	Shell structure, ontogeny, and affinities of the Lower Cambrian bivalved problematic fossil <i>Mickwitzia muralensis</i>			37	4	381-400								10.1080/00241160410002090	
Generic	Holmer, Lars E. ;Skovsted, Christian B. ;Larsson, Cecilia M. ;Brock, Glenn A. ;Zhang, Zhifei 		2011	First record of a bivalved larval shell in Early Cambrian tommotiids and its phylogenetic significance			54	2	235-239									
Generic	Holmer, L.E. ;Skovsted, C.B. ;Brock, G.A. ;Valentine, J.L. ;Paterson, J.R. 		2008	Early Cambrian tommotiid <i>Micrina</i>, a sessile bivalved stem group brachiopod. 			4		724-728									
Generic	Larsson, Cecilia M. ;Skovsted, Christian B. ;Brock, Glenn A. ;Balthasar, Uwe ;Topper, Timothy P. ;Holmer, Lars E. 		2014	<i>Paterimitra pyramidalis</i> from South Australia: scleritome, shell structure and evolution of a lower Cambrian stem group brachiopod			57	2	417-446									
Generic	Holmer, Lars E. ;Stolk, Sandra Pettersson ;Skovsted, Christian B. ;Balthasar, Uwe ;Popov, Leonid 		2009	The enigmatic early Cambrian <i>Salanygolina</i> - A stem group of rhynchonelliform chileate brachiopods?			52	1	1-10									
Generic	Zhang, Zhi-Fei ;Holmer, Lars E. ;Ou, Qiang ;Han, Jian ;Shu, De-Gan 		2011	The exceptionally preserved Early Cambrian stem rhynchonelliform brachiopod <i>Longtancunella</i> and its implications			44	4	490-495									
Generic	Streng, Michael ;Butler, Aodhán D. ;Peel, John S. ;Garwood, Russell J. ;Caron, Jean-Bernard 		2016	A new family of Cambrian rhynchonelliformean brachiopods (Order Naukatida) with an aberrant coral-like morphology			59	2	269-293									
Generic	Moysiuk, Joseph ;Smith, Martin Ross ;Caron, Jean-Bernard 		2017	Hyoliths are Palaeozoic lophophorates			541	7637	394-397									
Generic	Zhang, Zhi-Fei ;Li, Guo-Xiang ;Emig, Christian C. ;Han, Jian ;Holmer, Lars E. ;Shu, De-Gan 		2009	Architecture and function of the lophophore in the problematic brachiopod <i>Heliomedusa orienta</i> (Early Cambrian, South China)			42	5	649-661									
Generic	Zhang, Zhi-Fei ;Han, Jian ;Zhang, Xing-Liang ;Liu, Jian-Ni ;Guo, Jun-Feng ;Shu, De-Gan 		2007	Note on the gut preserved in the Lower Cambrian <i>Lingulellotreta</i> (Lingulata, Brachiopoda) from southern China			88	1	65-70									
Generic	Balthasar, Uwe ;Butterfield, Nicholas J. 		2009	Early Cambrian "soft-shelled" brachiopods as possible stem-group phoronids			54	2	307-314									
Journal Article			0															http://
Generic	Zhuravlev, A. Yu. ;Wood, R. A. ;Penny, A. M. 		2015	Ediacaran skeletal metazoan interpreted as a lophophorate			282	1818	20151860								10.1098/rspb.2015.1860	
Generic	Bassett, M. G. ;Popov, L. E. ;Egerquist, Eva 		2008	Early ontogeny of some Ordovician-Silurian strophomenate brachiopods: Significance for interpreting evolutionary relationships within early Rhynchonelliformea			54		13-20									
Generic	Holmer, Lars E. ;Popov, Leonid E. ;Pour, Mansoureh Ghobadi ;Claybourn, Tom ;Zhang, Zhi-Liang ;Brock, Glenn A. ;Zhang, Zhi-Fei 		2018	Evolutionary significance of a middle Cambrian (Series 3) <i>in situ</i> occurrence of the pedunculate rhynchonelliform brachiopod <i>Nisusia sulcata</i>													10.1111/let.12254	
Journal Article	Popov, Leonid E. ;Egerquist, Eva ;Holmer, Lars E. 		2007	Earliest ontogeny of Middle Ordovician rhynchonelliform brachiopods (Clitambonitoidea and Polytoechioidea): implications for brachiopod phylogeny			40	1	85-96									
Generic	Bassett, Michael Gwyn ;Popov, Leonid E. ;Holmer, Lars E. 		2001	Functional morphology of articulatory structures and implications for patterns of musculature in Cambrian rhynchonelliform brachiopods					163-176									
Generic	Zhang, Zhi-Fei ;Holmer, Lars E. ;Popov, Leonid ;Shu, De-Gan 		2011	An obolellate brachiopod with soft-part preservation from the Early Cambrian Chengjiang fauna of China			85	3	460-463									
Generic	Skovsted, Christian B. ;Betts, Marissa J. ;Topper, Timothy P. ;Brock, Glenn A. 		2015	The early Cambrian tommotiid genus <i>Dailyatia</i> from South Australia			48	1	1-117									
Journal Article	Skovsted, C.B. ;Brock, G.A. ;Topper, T.P. ;Paterson, J.R. ;Holmer, Lars E. 		2011	Scleritome construction, biofacies, biostratigraphy and systematics of the tommotiid <I>Eccentrotheca helenia</i> sp. nov. from the early Cambrian of South Australia			54		253-286									
Journal Article	Balthasar, Uwe ;Skovsted, Christian B. ;Holmer, Lars E. ;Brock, Glenn A. 		2009	Homologous skeletal secretion in tommotiids and brachiopods			37		1143-1146									
Generic	Wright, A.D. ;Rubel, M. 		1996	 A review of the morphological features affecting the classification of clitambonitidine brachiopods			39		53-75									
Generic	Madison, A. 		2017	Laminar shell structure of <i>Antigonambonites planus</i> (Pander, 1830) (Brachiopoda, Billingsellida)			66		183-187									
Generic	Dewing, Keith 		2001	Hinge modifications and musculature of strophomenoid brachiopods: examples across the Ordovician-Silurian boundary, Anticosti Island, Quebec			38		125-141									
Generic	Zhang, Zhi-Fei ;Shu, De-Gan ;Emig, C. C. ;Zhang, Xing-Liang ;Han, J. ;Liu, Jian-Ni ;Li, Y. ;Guo, Jun-Feng 		2007	Rhynchonelliformean brachiopods with soft-tissue preservation from the early Cambrian Chengjiang Lagerstätte of South China			50		1391-1402									
Generic	Rowell, A. J. ;Caruso, Nancy E. 		1985	The evolutionary significance of <i>Nisusia sulcata</i>, an early articulate brachiopod			59	5	1227-1242									
Journal Article	Zhang, Zhi-Fei ;Li, Guo-Xiang ;Holmer, Lars Erik ;Brock, Glenn A. ;Balthasar, Uwe ;Skovsted, Christian B. ;Fu, D.-J. ;Zhang, X.-L. ;Wang, H.-Z. ;Butler, A. D. ;Zhang, Z.-L. ;Cao, C.-Q. ;Han, J. ;Liu, Jian-Ni ;Shu, De-Gan 		2014	An early Cambrian agglutinated tubular lophophorate with brachiopod characters			4	4682										
Journal Article	Laurie, J.R. 		1986	Phosphatic fauna of the Early Cambrian Todd River Dolomite, Amadeus Basin, central Australia			10		431-454									
Journal Article	Topper, T.P. ;Holmer, L.E. ;Skovsted, C.B. ;Brock, G.A. ;Balthasar, U. ;Larsson, C.M. ;Petterson Stolk, S. ;Harper, D.A.T. 		2013	The oldest brachiopods from the lower Cambrian of South Australia			58		93-109									
Generic	Hu, Shi-Xue ;Zhang, Zhi-Fei ;Holmer, Lars E. ;Skovsted, Christian B. 		2010	Soft-part preservation in a linguliform brachiopod from the lower Cambrian Wulongqing Formation (Guanshan Fauna) of Yunnan, South China			55	3	495-505									
Journal Article	Williams, A. ;Popov, L.E. ;Holmer, L.E. ;Cusack, M. 		1998	The diversity and phylogeny of the paterinate brachiopods			40		221-262									
Book	Kruse, P. D. 		1990			Northern Territory Geological Survey			1-63									
Generic	Ushatinskaya, G.T. 		2016	Protegulum and brephic shell of the earliest organophosphatic brachiopods			50	2	141-152									
